poiname,lat,lon,tag,source
荣丰2008,39.894668,116.336595,住宅区,北京发布
钟村街,22.968000,113.334966,道路,广州市卫生健康委员会
紫金长河,39.981955,116.303986,住宅区,北京发布
浦东星河湾,31.192452,121.535774,住宅区,上海市卫生健康委员会
泉塘镇,31.195923,117.693461,乡镇,芜湖发布微信公众号
仙桃市中医院,30.361868,113.459295,综合医院,仙桃市卫生健康委员会
青青家园,30.361631,113.462330,住宅区,仙桃市卫生健康委员会
兴隆村,30.144017,113.486959,村庄,仙桃市卫生健康委员会
潭口村,30.506804,113.038638,村庄,仙桃市卫生健康委员会
雷场村,30.429061,113.141267,村庄,仙桃市卫生健康委员会
下夹沟村,30.420671,113.157771,村庄,仙桃市卫生健康委员会
香铺村,30.442021,113.022102,村庄,仙桃市卫生健康委员会
大福,30.446002,113.589809,村庄,仙桃市卫生健康委员会
高龙村,30.454521,113.581839,村庄,仙桃市卫生健康委员会
葛家湾村,30.439482,113.615732,村庄,仙桃市卫生健康委员会
新兴庙村,30.448101,113.599636,村庄,仙桃市卫生健康委员会
易王村,30.436635,113.586411,村庄,仙桃市卫生健康委员会
冯台村,30.364501,113.126558,村庄,仙桃市卫生健康委员会
四合村,30.405242,113.080173,村庄,仙桃市卫生健康委员会
沟一村,30.380089,113.215162,村庄,仙桃市卫生健康委员会
叶河村,30.339921,113.478317,村庄,仙桃市卫生健康委员会
长高村,30.394602,113.558289,村庄,仙桃市卫生健康委员会
胡花,30.412830,113.590943,村庄,仙桃市卫生健康委员会
黄旺村,30.401911,113.547108,村庄,仙桃市卫生健康委员会
挖沟村,30.293356,113.480824,村庄,仙桃市卫生健康委员会
汪洲村,30.276315,113.482591,村庄,仙桃市卫生健康委员会
义礼村,30.307782,113.556277,村庄,仙桃市卫生健康委员会
群兴村,30.172056,113.670987,村庄,仙桃市卫生健康委员会
朱排口村,30.233611,113.687222,村庄,仙桃市卫生健康委员会
八一村,30.219137,113.597767,村庄,仙桃市卫生健康委员会
团结村,30.097080,113.528939,村庄,仙桃市卫生健康委员会
十一墩社区,30.362314,113.461151,住宅区,仙桃市卫生健康委员会
金城花园,30.373577,113.431398,住宅区,仙桃市卫生健康委员会
纯良村,30.240218,113.744505,村庄,仙桃市卫生健康委员会
仙桃·福星城,30.356017,113.459347,住宅区,仙桃市卫生健康委员会
现代·森林国际城,30.340344,113.463588,住宅区,仙桃市卫生健康委员会
紫金城(沙嘴路西四巷),30.354633,113.447833,住宅区,仙桃市卫生健康委员会
润泽天下综合楼,30.349734,113.433551,房产,仙桃市卫生健康委员会
新城壹号(钱沟南路),30.346587,113.460041,住宅区,仙桃市卫生健康委员会
水厂花园,30.243617,113.375716,住宅区,仙桃市卫生健康委员会
横浩村,30.283876,113.558130,村庄,仙桃市卫生健康委员会
邵沈渡村,30.156680,113.256431,村庄,仙桃市卫生健康委员会
东升村,30.250470,113.340107,村庄,仙桃市卫生健康委员会
保平社区,24.434430,107.838994,村庄,广西河池卫生健康委员会
大战场镇,37.401404,105.559076,乡镇,中卫发布
杜柳,30.347740,113.432070,村庄,仙桃市卫生健康委员会
