title,event,eventTime
巴巴多斯短跑名将皮尔森-乔丹因感染新冠肺炎去世,巴巴多斯短跑名将皮尔森-乔丹因为感染新冠肺炎去世，享年69岁。皮尔森-乔丹应该是第一位感染COVID-19而去世的奥运选手。,2020-03-31
尼克斯老板多兰确诊新冠肺炎 ,尼克斯官方宣布，球队老板詹姆斯-多兰已经确诊感染新冠病毒。 这是尼克斯官方向外透露的消息，他目前已经在自我隔离，属于轻症接近无症的患者。,2020-03-29
西班牙皇室成员“红公主”因新冠肺炎逝世 ,西班牙媒体27日消息，被称为“红公主”的费利佩六世国王的表姐玛丽亚·特蕾莎（Maria Teresa deBorbón）因感染新冠肺炎于巴黎逝世，享年86岁。,2020-03-27
英国卫生大臣新冠检测呈阳性 ,3月27日，英国卫生大臣马特·汉考克新冠肺炎检测呈阳性。汉考克在社交媒体上表示，他症状轻微，正在自我隔离、居家办公。,2020-03-27
英国首相鲍里斯·约翰逊确诊新冠,3月27日，英国首相鲍里斯·约翰逊在其社交媒体上发文称，在过去的24小时身体呈现“轻微症状”，经新冠病毒检测结果呈阳性。,2020-03-27
西班牙副首相卡尔沃新冠病毒检测呈阳性,据《国家报》、埃菲社、塞尔电台等多家西媒报道，西班牙副首相卡尔沃确诊感染新冠病毒。,2020-03-26
英国查尔斯王子确诊新冠,英国每日电讯报刚刚消息，英国查尔斯王子新冠病毒检测呈阳性。英国《每日电讯报》称，查尔斯王子一直存在轻微症状，但目前身体状况良好。此外，过去几天他一直居家工作,2020-03-25
两次协助中国抗疫的美国专家确诊新冠肺炎,当地时间24日，经记者确认，被誉为“病毒猎手”的美国传染病学专家利普金教授，确诊感染新冠病毒。他目前仅有咳嗽及低烧等轻症现象。今年1月，利普金教授曾就新冠疫情控制专程访华。,2020-03-25
英国一名高级外交官因患新冠肺炎去世,据英国外交部3月25日消息，英国驻布达佩斯大使馆代表团副团长史蒂文·迪克新冠病毒检测呈阳性后已去世。  现年37岁的史蒂文·迪克周二在布达佩斯一家医院去世。他从2008年开始在英国外交部任职，此前曾在此前曾在喀布尔和利雅得任职。,2020-03-25
非洲爵士乐传奇人物马努·迪班戈因新冠肺炎去世,法新社消息，喀麦隆萨克斯演奏家、非洲爵士乐传奇人物马努·迪班戈Manu Dibango感染新冠病毒，于3月24日在法国去世，享年86岁。 ​,2020-03-24
哈佛大学校长夫妻确诊新冠肺炎,当地时间3月24日，哈佛校长劳伦斯·巴考在一份致哈佛社区声明中宣布，自己和妻子均被确诊感染新冠肺炎。,2020-03-24
华盛顿州一市长新冠病毒检测呈阳性,据美国《西雅图时报》刚刚消息，美国华盛顿州斯诺夸尔米市市长马特·拉森(Matt Larson)当地时间23日表示，其新冠病毒检测呈阳性。,2020-03-24
好莱坞演员艾伦·特维特透露自己确诊感染新冠,好莱坞演员自曝确诊感染新冠：虽然症状轻微，但已失去味觉和嗅觉.此外，他还乐观分享了一张自己的狗Miles的照片，表示狗狗现在很享受在家中与人类待在一起的时光。 ​​​​,2020-03-24
好莱坞著名制作人哈韦韦恩斯在纽约监狱确诊,英国《每日邮报》22日报道，正在狱中服刑的好莱坞知名制作人哈维·韦恩斯坦新冠病毒检测呈阳性，目前已被隔离。此前，韦恩斯坦因性侵和强奸被判入狱23年。 ​,2020-03-23
美国共和党参议员新冠病毒检测呈阳性,法新社22日消息，美国共和党参议员兰德·保罗新冠病毒检测呈阳性，成为美国首个感染新冠病毒的参议员。Rand Paul成为第一个感染新冠病毒的参议员。他日前与多名参议员共进午餐。,2020-03-22
西班牙著名男高音歌唱家多明戈感染新冠肺炎,新华社马德里3月22日电（谢宇智）西班牙著名男高音歌唱家普拉西多·多明戈22日表示，他本人感染新冠病毒。多明戈通过个人社交媒体账号发布了这一消息。他说：“我出现了咳嗽和发热症状，因此决定进行（新冠病毒）检测，结果呈阳性。”多明戈表示，他和家人都在进行隔离，目前身体状况良好。,2020-03-22
AC米兰俱乐部证实马尔蒂尼新冠检测呈阳性,虎扑3月22日讯 AC米兰俱乐部在官方网站证实，红黑名宿马尔蒂尼的新冠检测呈阳性。AC米兰俱乐部证实，技术总监、名宿保罗-马尔蒂尼曾与一名患者有过接触，随后这名患者被检测出了新型冠状病毒阳性，并表现了出病毒感染的症状。,2020-03-22
迪巴拉确认感染新冠：目前情况良好,虎扑3月22日讯 尤文图斯球员迪巴拉在发布推特表示，自己与女友确认感染新冠病毒，目前情况良好。迪巴拉写道：“大家好，我们刚收到了新冠检测的结果，我和奥莉娅娜(女友)都为阳性。”“幸运的是我们俩目前情况良好，感谢大家的关心。”此前迪巴拉表示，他在等待新冠病毒的检测结果，正处在隔离期中。,2020-03-22
中国球员武磊感染新冠肺炎,虎扑3月21日讯 根据新华社记者的消息，他们“从权威人士处获悉”，现效力于西甲西班牙人队的中国球员武磊确诊感染新冠病毒。,2020-03-21
韩裔演员金大贤透露自己确诊感染新冠,美籍韩裔演员金大贤透露自己感染新冠，正在家与家人分开隔离护理。他呼吁认真对待疫情，不要因此对中国和亚裔产生偏见，甚至诉诸暴力。,2020-03-20
中国重剑队3人确诊新冠肺炎,北京时间20日早，中国重剑队在中国击剑协会官网发布消息，3名国家队队员确诊感染新冠肺炎，不过为轻症正接受治疗，其他队友正在隔离，目前一切正常。这是我国国家体育队首次出现确诊病例。,2020-03-20
湖人官方：两名球员确诊新冠肺炎,虎扑3月20日讯 今天，湖人官方发布声明，确认有两位球员确诊新冠肺炎（检测结果为阳性）。“在4名篮网球员被诊断感染新型冠状病毒后，由于湖人曾在3月11日对阵篮网，我们的队医和公共卫生官员们建议队员们进行冠状病毒检测。我们今天得知，有两名湖人球员病毒检测呈阳性。两名球员目前都无症状，都在隔离并接受队医观察。”,2020-03-20
凯尔特人球员马库斯-斯马特确诊新冠,虎扑3月20日讯 根据the Athletic记者Shams Charania的报道，消息人士透露，凯尔特人有一位球员确诊新冠肺炎（检测结果为阳性），姓名并未公开。随后Shams发推补充称，马库斯-斯马特宣布自己确诊感染新冠肺炎。,2020-03-20
76人三名球队成员新冠病毒检测呈阳性 ,虎扑3月20日讯 根据ESPN名记的报道，76人三名球队成员新冠病毒检测呈阳性。根据76人的说法，球队对球员、教练组和特定的篮球运营人员进行了病毒检测，三位阳性患者都来自这个范围。根据Marc Stein的后续报道，76人方面称，他们是收到了医学专家和NBA的建议，要求对以上三类球队成员进行测试，这些测试都是私密且受保护的。,2020-03-20
掘金有一名球队成员的新冠病毒检测呈阳性,虎扑3月20日讯 根据ESPN名记的报道，掘金方面称，有一名球队成员的新冠病毒检测呈阳性。这位成员在3月16日出现了发病症状，随后接受了检测，目前正在球队医疗人员的照顾下处于自我隔离的状态。目前尚不清楚该成员是球员还是球队的工作人员。,2020-03-20
